Metabolite name,Value,Uncertainty,Note
Glucose-6-phosphate,1.25,0.01,
Fructose-6-phosphate,0.87,0.01,
"Fructose-1,6-bisphosphate",11.43,0.29,
Dihydroxyacetonephosphate,0.41,0.01,
Glyceraldehyde-3-phosphate,0,0,
2/3-phosphoglycerate,2.19,0.01,
Phosphoenolpyruvate,1.08,0.02,
Pyruvate,734.5,33.2,
6-Phosphogluconate,0,0,
Ribose-5-phosphate,0,0,
Ribu-/Xylulose-5-phosphate,0.02,0.01,
Erythrose-4-phosphate,0,0,
Sedoheptulose-7-phosphate,0,0,
Acetyl-CoA,0,0,
Citrate,26.44,0.11,
Cis-aconitate,1.65,0.01,
Isocitrate,6.12,0.12,
α-Ketoglutarate,50.13,0.92,
Fumarate,12.35,0.38,
Malate,0,0,
Glyoxylate,0,0,
Cometabolites,,,
AXP,0,0,
NAD(H),0,0,
NADP(H),0,0,
Aminoacids,,,
Alanine,5.47,1.18,
Leucine/Isoleucine,8.07,0.4,
Valine,7.69,0.61,
Aspartate,4.2,0.25,
Homoserine,0,0,
Threonine,0,0,
Methionine,0.15,0.01,
Lysine,3.99,1.52,
Tryptophane,0,0,
Tyrosine,1.41,0.08,
Phenylalanine,4.48,0.22,
Glutamate,28.32,0.56,
Glutamine,2.71,0.15,
Proline,7.4,0.28,
Serine,1.6,0.17,
Glycine,0,0,
Arginine,76.8,0.01,
Histidine,10.83,4.54,
Others,,,
Acetate,7518,151,
Ethanol,99414,868.2439766,Converted from g/l 4.58 g/L
Orotate,18.5,0.71,
Uracil,175,2.8,
