,Metabolite name,Ecoli metabolite,Value,Uncertainty,10h value,Mass,Charge,Phosphate,Topological Polar Surface Area [Å],Average carbon oxidation
0,Glucose-6-phosphate,g6p,17.65,0.53,,258.119901,-2.0,1.0,165.0,0.8333333333333334
1,Fructose-6-phosphate,f6p,29.29,0.6,,258.119901,-2.0,1.0,165.0,0.8333333333333334
2,"Fructose-1,6-bisphosphate",fdp,34.21,0.72,,336.083922,-4.0,2.0,,3.3333333333333335
3,Dihydroxyacetonephosphate,dhap,50.4,1.74,40.0,168.041961,-2.0,1.0,104.0,1.6666666666666667
4,Glyceraldehyde-3-phosphate,g3p,15.04,0.24,10.0,168.041961,-2.0,1.0,104.0,1.6666666666666667
5,2/3-phosphoglycerate,"2pg, 3pg",19.45,1.55,15.0,183.033421,-3.0,1.0,124.0,2.3333333333333335
6,Phosphoenolpyruvate,pep,20.43,0.28,5.0,165.01814099999999,-3.0,1.0,104.0,2.3333333333333335
7,Ribose-5-phosphate,r5p,10.29,0.22,8.0,228.093921,-2.0,1.0,137.0,1.0
8,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L",3.69,0.04,2.5,228.093921,-2.0,1.0,145.0,1.0
9,Erythrose-4-phosphate,e4p,1.31,0.21,0.8,198.067941,-2.0,1.0,124.0,1.25
10,Citrate,cit,139.8,6.2,120.0,189.09969999999998,-3.0,0.0,141.0,1.0
11,Cis-aconitate,acon_C,14.13,0.4,,171.08442,-3.0,0.0,112.0,1.0
12,Isocitrate,icit,23.13,0.54,,189.09969999999998,-3.0,0.0,132.0,1.0
13,Glutamate,glu__L,0.0,0.0,,146.12132,-1.0,0.0,101.0,-0.2
14,Aspartate,asp__L,20.87,0.55,1.0,132.09474,-1.0,0.0,101.0,0.25
15,Aspartate,,20.87,0.55,1.0,,,,,
16,Threonine,thr__L,2.59,0.3,2.0,119.11916,0.0,0.0,83.6,-0.75
17,Threonine,,2.59,0.3,2.0,,,,,
18,Homoserine,hom__L,2.43,0.48,,119.11916,0.0,0.0,83.6,-0.75
19,Homoserine,,2.43,0.48,,,,,,
20,Tyrosine,tyr__L,29.8,0.9,1.0,181.18854,0.0,0.0,83.6,-0.5555555555555556
21,Tyrosine,,29.8,0.9,1.0,,,,,
22,Glycine,gly,1.23,0.52,0.4,75.0666,0.0,0.0,63.3,-0.5
23,Proline,pro__L,0.54,0.13,0.4,115.13046,0.0,0.0,49.3,-1.0
24,Alanine,ala__L,1.69,0.19,,89.09318,0.0,0.0,63.3,-1.0
25,Methionine,met__L,0.55,0.01,0.35,149.21134,0.0,0.0,88.6,-1.4
26,Methionine,,0.55,0.01,0.35,,,,,
27,Valine,val__L,88.5,2.18,1.0,117.14634,0.0,0.0,63.3,-1.4
28,Leucine/Isoleucine,"leu__L, ile__L",20.17,0.21,1.0,131.17291999999998,0.0,0.0,63.3,-1.5
29,Phenylalanine,phe__L,28.0,0.56,1.0,165.18913999999998,0.0,0.0,63.3,-0.7777777777777778
30,Phenylalanine,phe__L,28.0,0.56,1.0,165.18913999999998,0.0,0.0,63.3,-0.7777777777777778
31,Phenylalanine,,28.0,0.56,1.0,,,,,
32,Tryptophane,trp__L,0.25,0.01,0.18,204.22518,0.0,0.0,79.1,-0.18181818181818182
33,Tryptophane,,0.25,0.01,0.18,,,,,
34,Histidine,his__L,6.84,0.01,,155.15456,0.0,0.0,92.0,0.6666666666666666
35,Arginine,arg__L,9.61,0.91,,175.2089,1.0,0.0,128.0,0.3333333333333333
36,Pyruvate,pyr,4924.0,509.0,,87.05412,-1.0,0.0,57.2,0.6666666666666666
37,Orotate,orot,1100.0,27.0,250.0,155.08832,-1.0,0.0,,2.0
38,Fumarate,fum,12.45,2.31,4.0,114.05628,-2.0,0.0,80.3,1.0
39,Uracil,ura,1443.0,30.0,,112.08676,0.0,0.0,58.2,1.5
40,α-Ketoglutarate,akg,200.0,17.7,50.0,144.08226000000002,-2.0,0.0,91.7,0.8
41,Acetate,ac,12949.0,851.0,,59.04402,-1.0,0.0,40.1,0.0
42,Lysine,lys__L,0.0,0.0,,147.1955,1.0,0.0,89.3,-0.6666666666666666
43,Lysine,,0.0,0.0,,,,,,
44,Glutamine,gln__L,0.0,0.0,,146.1445,0.0,0.0,106.0,0.4
45,Ethanol,etoh,0.0,0.0,,46.06844,0.0,0.0,20.2,-3.0
